id,playtime,playtime_str,projectiles_shot
31,358.33300,00:05:58,100
135,141.15000,00:02:21,99
91,202.20000,00:03:22,98
195,138.70000,00:02:18,94
16,186.35000,00:03:06,92
52,275.30000,00:04:35,92
25,213.20000,00:03:33,91
171,252.00000,00:04:12,88
62,124.80000,00:02:04,86
152,126.95000,00:02:06,83
57,163.93300,00:02:43,83
69,174.05000,00:02:54,82
136,250.08300,00:04:10,80
174,96.81670,00:01:36,79
60,323.41700,00:05:23,78
49,261.38300,00:04:21,77
93,137.95000,00:02:17,76
82,180.68300,00:03:00,75
41,247.26700,00:04:07,74
66,130.58300,00:02:10,73
11,263.70000,00:04:23,71
162,81.61670,00:01:21,70
109,47.41670,00:00:47,69
189,93.40000,00:01:33,67
105,104.45000,00:01:44,67
179,213.20000,00:03:33,67
67,176.78300,00:02:56,64
46,138.46700,00:02:18,64
202,97.93330,00:01:37,62
148,100.01700,00:01:40,61
71,186.86700,00:03:06,60
92,79.48330,00:01:19,59
63,127.45000,00:02:07,58
44,148.01700,00:02:28,57
29,270.70000,00:04:30,57
172,69.15000,00:01:09,56
191,90.08330,00:01:30,55
45,252.06700,00:04:12,50
30,186.51700,00:03:06,50
15,147.61700,00:02:27,48
35,127.53300,00:02:07,46
97,75.96670,00:01:15,46
54,47.50000,00:00:47,44
104,69.45000,00:01:09,43
94,146.00000,00:02:26,43
65,78.40000,00:01:18,40
193,43.71670,00:00:43,38
137,70.65000,00:01:10,38
61,97.35000,00:01:37,38
26,163.13300,00:02:43,38
117,69.18330,00:01:09,38
56,48.70000,00:00:48,37
156,116.70000,00:01:56,35
47,40.28330,00:00:40,35
23,92.86670,00:01:32,32
17,62.63330,00:01:02,29
34,44.26670,00:00:44,29
38,121.95000,00:02:01,27
22,76.70000,00:01:16,26
98,27.70000,00:00:27,22
3,175.58300,00:02:55,20
19,46.33330,00:00:46,20
9,9.38333,00:00:09,19
102,201.15000,00:03:21,17
40,38.83330,00:00:38,13
139,36.71670,00:00:36,12
181,3.11667,00:00:03,6
153,5.71667,00:00:05,6
